,0
0,25.239
1,13.636
2,31.469
3,31.511
4,25.763
5,29.824
6,13.788
7,11.413
8,30.67
9,7.444
10,30.022
11,18.778
12,36.63
13,12.208
14,29.176
15,12.631
16,23.917
17,10.59
18,27.514
19,23.505
20,12.891
21,29.144
22,30.892
23,17.0
24,17.901
25,17.0
26,23.917
27,25.496
28,17.901
29,18.0
30,6.0
31,29.469
32,22.525
33,26.177
34,26.796
35,29.176
36,20.947
37,28.057
38,26.486
39,25.763
40,30.917
41,8.3883
42,12.0
43,18.778
44,11.088
45,14.188
46,23.505
47,34.985
48,31.0
49,16.607
50,8.3098
51,10.59
52,17.494
53,29.056
54,13.158
55,26.867
56,36.988
57,30.917
58,31.0
59,30.022
60,18.854
61,27.842
62,10.168
63,25.032
64,29.144
65,36.948
66,26.498
67,12.631
68,20.457
69,19.871
70,28.591
71,16.869
72,13.636
73,12.388
74,30.022
75,12.834
76,7.063
77,16.662
78,16.623
79,24.487
80,25.763
81,32.451
82,31.0
83,14.188
84,27.217
85,18.778
86,11.876
87,29.056
88,13.158
89,17.07
90,17.0
91,25.275
92,21.914
93,19.029
94,28.057
95,12.0
96,36.988
97,20.457
98,12.0
99,23.304
100,21.321
101,36.556
102,10.876
103,8.2199
104,12.0
105,9.9401
106,12.49
107,21.321
108,33.204
109,15.53
110,9.3742
111,31.0
112,10.168
113,25.787
114,11.127
115,31.0
116,24.37
117,30.431
118,18.626
119,31.0
120,9.9401
121,26.38
122,15.53
123,16.607
124,23.339
125,26.33
126,16.691
127,13.044
128,25.282
129,23.304
130,35.579
131,13.424
132,8.3098
133,20.107
134,30.67
135,17.0
136,16.589
137,23.917
138,36.63
139,17.595
140,18.93
141,19.871
142,20.107
143,12.834
144,31.161
145,11.789
146,27.217
147,12.106
148,9.6154
149,14.863
150,31.392
151,26.037
