,0
0,29.929
1,22.178
2,26.376
3,24.14
4,26.376
5,17.0
6,20.028
7,24.487
8,18.55
9,30.895
10,13.424
11,8.0102
12,23.917
13,10.59
14,36.789
15,30.177
16,29.056
17,8.1515
18,8.4671
19,13.934
20,16.836
21,29.469
22,6.0
23,17.975
24,21.321
25,13.636
26,11.305
27,24.37
28,36.55
29,14.646
30,21.914
31,25.282
32,26.652
33,30.777
34,17.493
35,8.1515
36,27.594
37,17.336
38,22.178
39,26.995
40,27.594
41,10.768
42,24.37
43,31.309
44,29.824
45,26.19
46,36.789
47,14.25
48,10.334
49,26.806
50,7.0631
51,23.505
52,27.514
53,12.0
54,9.7995
55,24.788
56,12.491
57,26.486
58,6.0
59,25.923
60,16.672
61,18.55
62,15.0
63,26.995
64,31.238
65,26.037
66,11.088
67,34.401
68,36.948
69,27.639
70,12.49
71,14.188
72,26.19
73,26.806
74,26.96
75,6.0
76,7.0631
77,28.092
78,9.6153
79,26.352
80,7.063
81,19.029
82,10.768
83,31.0
84,26.344
85,20.457
86,6.0102
87,29.971
88,10.876
89,22.178
90,12.388
91,17.0
92,28.938
93,16.664
94,25.787
95,17.595
96,12.631
97,6.0
98,10.912
99,13.424
100,23.505
101,6.0
102,23.339
103,23.917
104,13.044
105,23.791
106,33.204
107,20.564
108,28.808
109,31.511
110,23.035
111,26.33
112,23.791
113,25.741
114,17.012
115,13.636
116,18.778
117,26.486
118,24.242
119,17.0
120,31.315
121,31.0
122,8.3098
123,20.028
124,11.413
125,26.352
126,31.0
127,24.69
128,30.67
129,24.37
130,25.956
131,15.53
132,10.876
133,12.208
134,8.4671
135,23.304
136,36.948
137,18.93
138,25.741
139,26.64
140,29.51
141,24.69
142,25.147
143,7.063
144,18.626
145,24.14
146,17.0
147,28.092
148,25.519
149,18.702
150,36.868
151,17.493
152,16.623
153,17.042
154,23.505
155,8.0103
156,12.491
157,26.566
158,30.022
159,21.3
160,15.002
161,28.591
162,20.827
163,16.691
164,10.912
165,25.923
166,31.392
167,16.623
168,25.293
169,20.827
170,16.836
171,17.667
172,10.334
173,25.741
174,16.869
175,11.088
176,15.002
177,25.147
178,23.505
179,26.498
180,30.022
181,10.912
182,16.589
183,25.598
184,31.236
185,21.3
186,31.0
187,8.9885
188,16.816
189,36.771
190,13.044
191,28.006
192,23.339
193,16.816
194,10.949
195,8.4671
196,25.282
197,34.401
198,26.19
199,23.035
200,17.945
201,30.917
202,28.478
203,6.0
204,36.174
205,31.0
206,35.579
207,29.144
208,13.291
209,26.177
210,25.239
211,13.934
212,17.0
213,13.574
214,6.0
215,23.035
216,7.0631
217,31.0
218,13.574
219,29.797
220,31.0
221,26.652
222,17.0
223,27.418
224,12.0
225,14.188
226,30.424
227,30.892
228,17.901
229,17.012
230,20.827
231,13.596
232,25.519
233,34.401
234,25.787
235,10.169
236,18.0
237,30.917
238,36.789
239,26.38
240,36.948
241,28.938
242,12.0
243,8.3098
244,35.579
245,32.354
246,25.032
247,12.388
248,32.354
249,15.0
250,31.469
251,25.496
252,11.305
253,18.93
254,12.0
255,28.268
256,30.424
257,29.971
258,12.491
259,11.789
260,6.0
261,28.478
262,17.268
263,31.0
264,18.854
265,13.291
266,17.042
267,23.791
268,31.0
269,24.242
270,13.045
271,24.14
272,28.654
273,31.309
274,28.591
275,17.268
276,13.044
277,30.67
278,13.596
279,20.333
280,34.985
281,25.923
282,29.928
283,16.623
284,18.778
285,25.282
286,26.64
287,12.0
288,12.631
289,7.8318
290,31.315
291,7.8318
292,6.0102
293,30.895
294,12.0
295,29.682
296,22.178
297,28.057
298,13.045
299,18.702
300,29.682
301,26.344
302,10.59
303,14.646
304,8.4671
305,17.719
306,31.0
307,12.0
308,31.0
309,28.057
310,24.139
311,14.646
312,28.124
313,19.64
314,22.178
315,17.364
316,31.309
317,33.204
318,26.64
319,7.8317
320,30.177
321,6.0
322,14.646
323,31.511
324,27.639
325,23.035
326,28.654
327,29.682
328,36.771
329,26.867
330,11.127
331,28.591
332,6.0
333,30.895
334,16.589
335,13.596
336,8.0103
337,23.14
338,31.084
339,28.057
340,12.388
341,6.0
342,13.424
343,31.469
344,17.268
345,27.842
346,31.309
347,16.664
348,26.352
349,21.3
350,14.863
351,25.293
352,25.275
353,25.956
354,17.07
355,24.69
356,26.798
357,10.334
358,14.863
359,16.836
360,25.282
361,20.827
362,36.63
363,26.344
364,36.55
365,21.747
366,20.564
367,9.7997
368,29.797
369,31.0
370,29.824
371,19.64
372,30.777
373,26.138
374,13.574
375,10.334
376,12.0
377,24.863
378,26.995
379,28.807
380,16.607
381,33.204
382,10.949
383,12.0
384,26.652
385,17.015
386,26.96
387,26.352
388,24.242
389,25.293
390,17.336
391,12.0
392,17.364
393,16.663
394,11.875
395,25.923
396,23.917
397,27.842
398,31.0
399,24.69
400,16.672
401,30.895
402,30.431
403,17.126
404,12.0
405,13.574
406,28.092
407,10.876
408,6.0
409,26.566
410,26.486
411,12.49
412,22.525
413,14.188
414,11.413
415,10.768
416,26.037
417,31.0
418,31.0
419,17.012
420,21.914
421,26.498
422,11.789
423,9.2894
424,28.268
425,27.217
426,36.55
427,25.293
428,31.0
429,23.68
430,23.68
431,17.494
432,29.51
433,18.203
434,17.0
435,21.321
436,26.953
437,12.834
438,31.0
439,11.413
440,8.3098
441,31.237
442,17.0
443,23.14
444,12.388
445,26.953
446,11.087
447,17.135
448,31.501
449,31.0
450,25.275
451,6.0102
452,26.652
453,6.0
454,12.0
455,36.174
456,12.0
457,30.431
458,26.798
459,26.953
460,23.035
461,16.836
462,26.64
463,10.949
464,17.901
465,16.792
466,17.0
467,36.63
468,17.494
469,21.747
470,6.0
471,15.53
472,16.062
473,20.333
474,16.792
475,12.891
476,15.0
477,17.364
478,32.354
479,29.929
480,13.158
481,28.654
482,17.336
483,10.876
484,8.9886
485,26.037
486,26.566
487,17.975
488,12.491
489,15.53
490,25.032
491,26.382
492,34.985
493,16.589
494,26.376
495,17.268
496,34.984
497,17.608
498,25.293
499,23.68
500,31.0
501,26.995
502,20.827
503,26.33
504,13.158
505,24.139
506,12.891
507,17.364
508,26.796
509,28.938
510,8.1515
511,26.486
512,6.0102
513,11.876
514,27.595
515,8.0102
516,24.487
517,18.854
518,25.956
519,32.45
520,12.106
521,32.355
522,25.147
523,29.056
524,22.525
525,17.135
526,12.0
527,10.169
528,6.0
529,16.672
530,13.636
531,12.208
532,12.0
533,16.062
534,20.028
535,29.797
536,9.94
537,25.598
538,23.791
539,26.382
540,10.359
541,20.564
542,12.208
543,17.015
544,31.501
545,24.11
546,8.2199
547,26.796
548,31.0
549,31.0
550,18.55
551,10.949
552,12.834
553,6.0102
554,25.275
555,13.934
556,17.126
557,12.834
558,31.0
559,8.1515
560,21.321
561,27.514
562,17.667
563,16.664
564,36.63
565,20.028
566,17.607
567,8.3883
568,36.556
569,31.392
570,26.798
571,29.176
572,30.177
573,6.0
574,23.339
575,13.291
576,19.029
577,17.0
578,27.639
579,17.126
580,36.709
581,30.777
582,25.598
583,17.975
584,11.305
585,31.236
586,29.51
587,11.127
588,36.63
589,31.0
590,36.709
591,30.022
592,31.0
593,19.64
594,28.005
595,16.816
596,15.002
597,23.791
598,29.51
599,36.55
600,18.55
601,14.466
602,18.626
603,25.032
604,18.0
605,11.413
606,9.3743
607,13.788
608,13.788
609,13.291
610,17.042
611,28.591
612,14.188
613,28.123
614,18.0
615,23.68
616,36.709
617,35.579
618,17.015
619,28.692
620,14.25
