,0
0,31.776
1,32.243
2,32.71
3,33.178
4,33.643
5,34.109
6,34.646
7,31.776
8,32.243
9,32.71
10,33.178
11,33.643
12,34.109
13,34.646
14,31.776
15,32.243
16,32.71
17,33.178
18,33.643
19,34.11
20,34.646
21,31.776
22,32.243
23,32.71
24,33.178
25,33.643
26,34.11
27,34.646
28,31.776
29,32.243
30,32.71
31,33.178
32,33.643
33,34.11
34,34.646
35,31.776
36,32.243
37,32.71
38,33.178
39,33.643
40,34.11
41,34.646
42,12.915
43,13.026
44,13.854
45,14.225
46,14.736
47,15.756
48,12.915
49,13.026
50,13.854
51,14.225
52,14.736
53,15.756
54,12.915
55,13.026
56,13.854
57,14.225
58,14.736
59,15.756
60,12.915
61,13.026
62,13.854
63,14.225
64,14.736
65,15.756
66,12.915
67,13.026
68,13.854
69,14.225
70,14.736
71,15.756
72,12.915
73,13.026
74,13.854
75,14.225
76,14.736
77,28.901
78,28.924
79,28.822
80,28.72
81,28.619
82,28.503
83,28.416
84,28.901
85,28.924
86,28.822
87,28.72
88,28.619
89,28.503
90,28.416
91,28.901
92,28.924
93,28.822
94,28.72
95,28.619
96,28.503
97,28.416
98,28.901
99,28.924
100,28.822
101,28.72
102,28.619
103,28.503
104,28.416
105,28.901
106,28.924
107,28.822
108,28.72
109,28.619
110,28.503
111,28.416
112,28.901
113,28.924
114,28.822
115,28.72
116,28.619
117,28.503
118,28.416
119,17.218
120,17.353
121,17.51
122,17.67
123,17.826
124,17.983
125,17.218
126,17.353
127,17.51
128,17.67
129,17.826
130,17.983
131,17.218
132,17.353
133,17.51
134,17.67
135,17.826
136,17.983
137,17.218
138,17.353
139,17.51
140,17.67
141,17.826
142,17.983
143,17.218
144,17.353
145,17.51
146,17.67
147,17.826
148,17.983
149,17.218
150,17.353
151,17.51
152,17.67
153,17.826
154,17.983
155,31.232
156,31.484
157,31.737
158,31.989
159,32.244
160,32.495
161,32.749
162,31.232
163,31.484
164,31.737
165,31.989
166,32.244
167,32.495
168,32.749
169,31.232
170,31.484
171,31.737
172,31.989
173,32.244
174,32.495
175,32.749
176,31.232
177,31.484
178,31.737
179,31.99
180,32.244
181,32.495
182,32.749
183,31.232
184,31.484
185,31.737
186,31.99
187,32.244
188,32.495
189,32.749
190,31.232
191,31.484
192,31.737
193,31.99
194,32.244
195,32.496
196,32.749
197,26.237
198,26.548
199,26.859
200,27.17
201,27.482
202,27.793
203,28.104
204,26.237
205,26.548
206,26.859
207,27.17
208,27.482
209,27.793
210,28.104
211,26.237
212,26.548
213,26.859
214,27.17
215,27.482
216,27.793
217,28.104
218,26.237
219,26.548
220,26.859
221,27.17
222,27.482
223,27.793
224,28.104
225,26.238
226,26.548
227,26.859
228,27.17
229,27.482
230,27.793
231,28.104
232,26.238
233,26.548
234,26.859
235,27.17
236,27.482
237,27.793
238,28.104
239,17.681
240,17.259
241,16.837
242,16.416
243,15.994
244,15.571
245,15.153
246,17.681
247,17.259
248,16.837
249,16.416
250,15.994
251,15.571
252,15.153
253,17.681
254,17.259
255,16.837
256,16.416
257,15.994
258,15.571
259,15.153
260,17.681
261,17.259
262,16.837
263,16.415
264,15.994
265,15.571
266,15.153
267,17.681
268,17.259
269,16.837
270,16.415
271,15.994
272,15.571
273,15.153
274,17.681
275,17.259
276,16.837
277,16.415
278,15.994
279,15.571
280,15.153
281,19.642
282,19.947
283,20.255
284,20.565
285,20.871
286,19.642
287,19.947
288,20.255
289,20.565
290,20.871
291,19.642
292,19.947
293,20.255
294,20.565
295,20.871
296,19.642
297,19.947
298,20.255
299,20.565
300,20.871
301,19.642
302,19.948
303,20.255
304,20.565
305,20.871
306,19.642
307,19.948
308,20.255
309,20.565
310,20.871
311,17.607
312,17.928
313,18.243
314,18.557
315,18.879
316,19.197
317,17.607
318,17.928
319,18.243
320,18.557
321,18.879
322,19.197
323,17.607
324,17.928
325,18.243
326,18.557
327,18.879
328,19.197
329,17.607
330,17.928
331,18.243
332,18.557
333,18.879
334,19.198
335,17.607
336,17.928
337,18.243
338,18.557
339,18.879
340,19.198
341,17.607
342,17.928
343,18.243
344,18.557
345,18.879
346,19.198
347,12.534
348,12.894
349,13.255
350,13.616
351,13.977
352,14.344
353,12.534
354,12.894
355,13.255
356,13.616
357,13.977
358,14.344
359,12.534
360,12.895
361,13.255
362,13.616
363,13.977
364,14.344
365,12.534
366,12.895
367,13.256
368,13.616
369,13.977
370,14.344
371,12.534
372,12.895
373,13.256
374,13.616
375,13.977
376,14.344
377,12.534
378,12.895
379,13.256
380,13.616
381,13.977
382,14.344
383,22.156
384,21.372
385,20.595
386,19.804
387,19.016
388,18.234
389,22.156
390,21.372
391,20.595
392,19.804
393,19.016
394,18.234
395,22.156
396,21.372
397,20.595
398,19.804
399,19.016
400,18.234
401,22.156
402,21.372
403,20.595
404,19.804
405,19.016
406,18.234
407,22.156
408,21.372
409,20.595
410,19.804
411,19.016
412,18.234
413,22.156
414,21.372
415,20.595
416,19.804
417,19.015
418,18.234
419,15.0
420,15.0
421,15.0
422,15.0
423,15.0
424,15.0
425,15.0
426,15.0
427,15.0
428,15.0
429,15.0
430,15.0
431,15.0
432,15.0
433,15.0
434,15.0
435,15.0
436,15.0
437,15.0
438,15.0
439,15.0
440,15.0
441,15.0
442,15.0
443,15.0
444,15.0
445,15.0
446,15.0
447,15.0
448,15.0
449,15.0
450,15.0
451,15.0
452,15.0
453,15.0
454,17.797
455,18.641
456,19.517
457,20.351
458,21.192
459,22.869
460,17.797
461,18.641
462,19.517
463,20.351
464,21.192
465,22.869
466,17.797
467,18.641
468,19.517
469,20.351
470,21.192
471,22.869
472,17.797
473,18.641
474,19.517
475,20.351
476,21.192
477,22.869
478,17.797
479,18.641
480,19.517
481,20.351
482,21.192
483,22.869
484,17.797
485,18.641
486,19.517
487,20.351
488,21.192
489,22.869
490,13.567
491,14.108
492,14.646
493,15.18
494,15.721
495,16.261
496,16.801
497,13.568
498,14.108
499,14.646
500,15.18
501,15.721
502,16.261
503,16.801
504,13.568
505,14.108
506,14.646
507,15.18
508,15.721
509,16.261
510,16.801
511,13.568
512,14.108
513,14.647
514,15.18
515,15.721
516,16.261
517,16.801
518,13.568
519,14.108
520,14.647
521,15.18
522,15.721
523,16.261
524,16.801
525,13.568
526,14.108
527,14.647
528,15.18
529,15.722
530,16.261
531,16.801
532,15.0
533,15.0
534,15.0
535,15.0
536,15.0
537,15.0
538,15.0
539,15.0
540,15.0
541,15.0
542,15.0
543,15.0
544,15.0
545,15.0
546,15.0
547,15.0
548,15.0
549,15.0
550,15.0
551,15.0
552,15.0
553,15.0
554,15.0
555,15.0
556,15.0
557,15.0
558,15.0
559,15.0
560,15.0
561,15.0
562,15.0
563,15.0
564,15.0
565,15.0
566,15.0
567,15.0
568,8.1633
569,8.317
570,8.4496
571,8.6248
572,8.7787
573,8.9324
574,9.0862
575,8.1633
576,8.3171
577,8.4496
578,8.6248
579,8.7787
580,8.9324
581,9.0863
582,8.1633
583,8.3171
584,8.4496
585,8.6248
586,8.7787
587,8.9324
588,9.0863
589,8.1633
590,8.3171
591,8.4496
592,8.6249
593,8.7788
594,8.9325
595,9.0863
596,8.1633
597,8.3171
598,8.4496
599,8.6249
600,8.7788
601,8.9325
602,9.0863
603,8.1634
604,8.3171
605,8.4496
606,8.6249
607,8.7788
608,8.9325
609,9.0863
610,33.879
611,32.66
612,31.43
613,30.207
614,28.799
615,27.74
616,33.879
617,32.66
618,31.43
619,30.207
620,28.799
621,27.74
622,33.879
